"Story","Title","Result","Date","Stability","Duration (s)"
"Create a basic Api test for pet store","Post a new pet","SUCCESS","2019-12-03T16:12:56.7628294+01:00[Europe/Berlin]","0.0","2.77"
"Create a basic Api test for pet store","Get a pet","SUCCESS","2019-12-03T16:12:59.5421801+01:00[Europe/Berlin]","0.0","1.01"
"Create a basic Api test for pet store","Update a pet","SUCCESS","2019-12-03T16:13:00.5543202+01:00[Europe/Berlin]","0.0","0.47"
"Create a basic Api test for pet store","Delete a pet","SUCCESS","2019-12-03T16:13:01.0283279+01:00[Europe/Berlin]","0.0","0.45"
