"Story","Title","Result","Date","Stability","Duration (s)"
"Create a basic Api test for pet store","Post a new pet","SUCCESS","2019-12-03T15:51:48.042079+01:00[Europe/Berlin]","0.0","3.84"
"Create a basic Api test for pet store","Get a pet","SUCCESS","2019-12-03T15:51:51.8863944+01:00[Europe/Berlin]","0.0","1.12"
"Create a basic Api test for pet store","Update a pet","SUCCESS","2019-12-03T15:51:53.0099311+01:00[Europe/Berlin]","0.0","0.49"
"Create a basic Api test for pet store","Delete a pet","SUCCESS","2019-12-03T15:51:53.5022625+01:00[Europe/Berlin]","0.0","0.44"
