"Story","Title","Result","Date","Stability","Duration (s)"
"Create a basic Api test for pet store","Post a new pet","SUCCESS","2019-12-03T16:06:10.7783325+01:00[Europe/Berlin]","0.0","2.89"
"Create a basic Api test for pet store","Get a pet","SUCCESS","2019-12-03T16:06:13.6767384+01:00[Europe/Berlin]","0.0","0.98"
"Create a basic Api test for pet store","Update a pet","SUCCESS","2019-12-03T16:06:14.6646422+01:00[Europe/Berlin]","0.0","0.49"
"Create a basic Api test for pet store","Delete a pet","SUCCESS","2019-12-03T16:06:15.1590607+01:00[Europe/Berlin]","0.0","0.41"
